uniprot_id	protein_name	gene_names	protein_full_name
P53611	PGTB2	RABGGTB GGTB	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta)
P42766	RL35	RPL35	Large ribosomal subunit protein uL29 (60S ribosomal protein L35)
Q53EP0	FND3B	FNDC3B FAD104 NS5ABP37 UNQ2421/PRO4979/PRO34274	Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37)
Q92793	CBP	CREBBP CBP	CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein lactyltransferas CREBBP) (EC 2.3.1.-) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-)
Q9BYM8	HOIL1	RBCK1 C20orf18 RNF54 UBCE7IP3 XAP3 XAP4	RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3)
Q13573	SNW1	SNW1 SKIIP SKIP	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)
P06748	NPM	NPM1 NPM	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)
Q13363	CTBP1	CTBP1 CTBP	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)
Q06547	GABP1	GABPB1 E4TF1B GABPB GABPB2	GA-binding protein subunit beta-1 (GABP subunit beta-1) (GABPB-1) (GABP subunit beta-2) (GABPB-2) (Nuclear respiratory factor 2) (Transcription factor E4TF1-47) (Transcription factor E4TF1-53)
Q07666	KHDR1	KHDRBS1 SAM68	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)
Q03135	CAV1	CAV1 CAV	Caveolin-1
O43156	TTI1	TTI1 KIAA0406 SMG10	TELO2-interacting protein 1 homolog (Protein SMG10)
P04792	HSPB1	HSPB1 HSP27 HSP28	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Heat shock protein family B member 1) (Stress-responsive protein 27) (SRP27)
Q15569	TESK1	TESK1	Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)
Q9BXS4	TMM59	TMEM59 C1orf8 HSPC001 UNQ169/PRO195	Transmembrane protein 59 (Liver membrane-bound protein)
P04632	CPNS1	CAPNS1 CAPN4 CAPNS	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)
Q9H788	SH24A	SH2D4A PPP1R38 SH2A	SH2 domain-containing protein 4A (Protein SH(2)A) (Protein phosphatase 1 regulatory subunit 38)
P55058	PLTP	PLTP	Phospholipid transfer protein (Lipid transfer protein II)
Q92597	NDRG1	NDRG1 CAP43 DRG1 RTP	Protein NDRG1 (Differentiation-related gene 1 protein) (DRG-1) (N-myc downstream-regulated gene 1 protein) (Nickel-specific induction protein Cap43) (Reducing agents and tunicamycin-responsive protein) (RTP) (Rit42)
Q9C004	SPY4	SPRY4	Protein sprouty homolog 4 (Spry-4)
O43516	WIPF1	WIPF1 WASPIP WIP	WAS/WASL-interacting protein family member 1 (Protein PRPL-2) (Wiskott-Aldrich syndrome protein-interacting protein) (WASP-interacting protein)
O15504	NUP42	NUP42 CG1 NUPL2	Nucleoporin NUP42 (NLP-1) (NUP42 homolog) (Nucleoporin hCG1) (Nucleoporin-42) (Nucleoporin-like protein 2)
Q9NRD5	PICK1	PICK1 PRKCABP	PRKCA-binding protein (Protein interacting with C kinase 1) (Protein kinase C-alpha-binding protein)
P33993	MCM7	MCM7 CDC47 MCM2	DNA replication licensing factor MCM7 (EC 3.6.4.12) (CDC47 homolog) (P1.1-MCM3)
P42566	EPS15	EPS15 AF1P	Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)
Q9Y3M8	STA13	STARD13 DLC2 GT650	StAR-related lipid transfer protein 13 (46H23.2) (Deleted in liver cancer 2 protein) (DLC-2) (Rho GTPase-activating protein) (START domain-containing protein 13) (StARD13)
P60709	ACTB	ACTB	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]
P55084	ECHB	HADHB MSTP029	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]
Q8NC56	LEMD2	LEMD2	LEM domain-containing protein 2 (hLEM2)
P63279	UBC9	UBE2I UBC9 UBCE9	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)
Q9NQC3	RTN4	RTN4 KIAA0886 NOGO My043 SP1507	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)
P60411	KR109	KRTAP10-9 KAP10.9 KAP18-9 KRTAP10.9 KRTAP18-9 KRTAP18.9	Keratin-associated protein 10-9 (High sulfur keratin-associated protein 10.9) (Keratin-associated protein 10.9) (Keratin-associated protein 18-9) (Keratin-associated protein 18.9)
Q6ZSJ9	SHSA6	SHISA6	Protein shisa-6
Q8NAN2	MIGA1	MIGA1 FAM73A	Mitoguardin 1 (Protein FAM73A)
Q13546	RIPK1	RIPK1 RIP RIP1	Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)
Q03989	ARI5A	ARID5A MRF1	AT-rich interactive domain-containing protein 5A (ARID domain-containing protein 5A) (Modulator recognition factor 1) (MRF-1)
P82933	RT09	MRPS9 RPMS9	Small ribosomal subunit protein uS9m (28S ribosomal protein S9, mitochondrial) (MRP-S9) (S9mt)
Q9BRS2	RIOK1	RIOK1 RIO1	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.1.-) (RIO kinase 1)
Q08211	DHX9	DHX9 DDX9 LKP NDH2	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)
P01892	HLAA	HLA-A HLAA	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)
P20226	TBP	TBP GTF2D1 TF2D TFIID	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)
P11532	DMD	DMD	Dystrophin
Q9C0C9	UBE2O	UBE2O KIAA1734	(E3-independent) E2 ubiquitin-conjugating enzyme (EC 2.3.2.24) (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O)
P0CG48	UBC	UBC	Polyubiquitin-C [Cleaved into: Ubiquitin]
P18850	ATF6A	ATF6	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]
P40429	RL13A	RPL13A	Large ribosomal subunit protein uL13 (23 kDa highly basic protein) (60S ribosomal protein L13a)
Q15323	K1H1	KRT31 HHA1 HKA1 KRTHA1	Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)
B8A4K4	B8A4K4		deleted
Q8TCQ1	MARH1	MARCHF1 MARCH1 RNF171	E3 ubiquitin-protein ligase MARCHF1 (EC 2.3.2.27) (Membrane-associated RING finger protein 1) (Membrane-associated RING-CH protein I) (MARCH-I) (RING finger protein 171) (RING-type E3 ubiquitin transferase MARCHF1)
P26715	NKG2A	KLRC1 NKG2A	NKG2-A/NKG2-B type II integral membrane protein (CD159 antigen-like family member A) (NK cell receptor A) (NKG2-A/B-activating NK receptor) (CD antigen CD159a)
Q6BDS2	BLT3A	BLTP3A C6orf107 UHRF1BP1	Bridge-like lipid transfer protein family member 3A (ICBP90-binding protein 1) (UHRF1-binding protein 1) (Ubiquitin-like containing PHD and RING finger domains 1-binding protein 1)
Q96A33	CCD47	CCDC47 GK001 MSTP041 PSEC0077	PAT complex subunit CCDC47 (Calumin) (Coiled-coil domain-containing protein 47)
P51690	ARSL	ARSL ARSE	Arylsulfatase L (EC 3.1.6.1) (Arylsulfatase E) (ASE)
Q96LT7	CI072	C9orf72 DENND9 DENNL72	Guanine nucleotide exchange factor C9orf72
Q9Y5B8	NDK7	NME7	Nucleoside diphosphate kinase homolog 7 (NDK 7) (NDP kinase homolog 7) (3'-5' exonuclease NME7) (EC 3.1.-.-) (Protein kinase NME7) (EC 2.7.-.-) (nm23-H7)
O75907	DGAT1	DGAT1 AGRP1 DGAT	Diacylglycerol O-acyltransferase 1 (EC 2.3.1.20) (ACAT-related gene product 1) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase)
Q6ZU52	K0408	KIAA0408	Uncharacterized protein KIAA0408
Q96E22	NGBR	NUS1 C6orf68 NGBR	Dehydrodolichyl diphosphate synthase complex subunit NUS1 (EC 2.5.1.87) (Cis-prenyltransferase subunit NgBR) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)
P17096	HMGA1	HMGA1 HMGIY	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)
P01037	CYTN	CST1	Cystatin-SN (Cystain-SA-I) (Cystatin-1) (Salivary cystatin-SA-1)
Q96DX4	RSPRY	RSPRY1 KIAA1972 UNQ328/PRO444	RING finger and SPRY domain-containing protein 1
O14948	TFEC	TFEC BHLHE34 TCFEC TFECL	Transcription factor EC (TFE-C) (Class E basic helix-loop-helix protein 34) (bHLHe34) (Transcription factor EC-like) (hTFEC-L)
Q96RQ1	ERGI2	ERGIC2 ERV41 PTX1 CDA14	Endoplasmic reticulum-Golgi intermediate compartment protein 2
P04350	TBB4A	TUBB4A TUBB4 TUBB5	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)
P02679	FIBG	FGG PRO2061	Fibrinogen gamma chain
O60499	STX10	STX10 SYN10	Syntaxin-10 (Syn10)
Q8N0Y2	ZN444	ZNF444 EZF2 ZSCAN17	Zinc finger protein 444 (Endothelial zinc finger protein 2) (EZF-2) (Zinc finger and SCAN domain-containing protein 17)
Q99816	TS101	TSG101	Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)
O15400	STX7	STX7	Syntaxin-7
O75147	OBSL1	OBSL1 KIAA0657	Obscurin-like protein 1
Q9ULJ3	ZBT21	ZBTB21 KIAA1227 ZNF295	Zinc finger and BTB domain-containing protein 21 (Zinc finger protein 295)
Q5U3C3	TM164	TMEM164	Transmembrane protein 164 (Arachidonoyl ether phospholipid synthase)
Q9NZI2	KCIP1	KCNIP1 KCHIP1 VABP	A-type potassium channel modulatory protein KCNIP1 (Kv channel-interacting protein 1) (KChIP1) (Potassium channel-interacting protein 1) (Vesicle APC-binding protein)
Q9H2C2	ARV1	ARV1 HT035	Protein ARV1 (hARV1)
Q99623	PHB2	PHB2 BAP REA	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)
Q9BZZ5	API5	API5 MIG8	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)
Q9UL42	PNMA2	PNMA2 KIAA0883 MA2	Paraneoplastic antigen Ma2 (40 kDa neuronal protein) (Onconeuronal antigen Ma2) (Paraneoplastic neuronal antigen MM2)
Q13310	PABP4	PABPC4 APP1 PABP4	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)
P54709	AT1B3	ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)
Q01650	LAT1	SLC7A5 CD98LC LAT1 MPE16	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter)
P30050	RL12	RPL12	Large ribosomal subunit protein uL11 (60S ribosomal protein L12)
Q8N6Y1	PCD20	PCDH20 PCDH13	Protocadherin-20 (Protocadherin-13)
P61236	YPEL3	YPEL3 FKSG5	Protein yippee-like 3
P30153	2AAA	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2Aa) (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)
Q9UBU9	NXF1	NXF1 TAP	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)
Q9ULG1	INO80	INO80 INO80A INOC1 KIAA1259	Chromatin-remodeling ATPase INO80 (hINO80) (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80) (INO80 complex subunit A)
Q15645	PCH2	TRIP13 PCH2	Pachytene checkpoint protein 2 homolog (Human papillomavirus type 16 E1 protein-binding protein) (16E1-BP) (HPV16 E1 protein-binding protein) (Thyroid hormone receptor interactor 13) (Thyroid receptor-interacting protein 13) (TR-interacting protein 13) (TRIP-13)
P61457	PHS	PCBD1 DCOH PCBD	Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)
Q6ZT21	TMPPE	TMPPE	Transmembrane protein with metallophosphoesterase domain (EC 3.1.-.-)
P46778	RL21	RPL21	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)
Q9H4A6	GOLP3	GOLPH3 GPP34	Golgi phosphoprotein 3 (Coat protein GPP34) (Mitochondrial DNA absence factor) (MIDAS)
Q93009	UBP7	USP7 HAUSP	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)
Q13084	RM28	MRPL28 MAAT1	Large ribosomal subunit protein bL28m (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28) (Melanoma antigen p15) (Melanoma-associated antigen recognized by T-lymphocytes)
Q93008	USP9X	USP9X DFFRX FAM USP9	Ubiquitin carboxyl-terminal hydrolase 9X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)
Q8N668	COMD1	COMMD1 C2orf5 MURR1	COMM domain-containing protein 1 (Protein Murr1)
Q14498	RBM39	RBM39 HCC1 RNPC2	RNA-binding protein 39 (CAPER alpha) (CAPERalpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)
Q9Y342	PLLP	PLLP PMLP TM4SF11	Plasmolipin (Plasma membrane proteolipid)
Q13554	KCC2B	CAMK2B CAM2 CAMK2 CAMKB	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)
Q99569	PKP4	PKP4	Plakophilin-4 (p0071)
P08047	SP1	SP1 TSFP1	Transcription factor Sp1
Q9Y4K3	TRAF6	TRAF6 RNF85	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (Interleukin-1 signal transducer) (RING finger protein 85) (RING-type E3 ubiquitin transferase TRAF6)
Q96ST3	SIN3A	SIN3A	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)
Q9P0K7	RAI14	RAI14 KIAA1334 NORPEG	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14)
P42858	HD	HTT HD IT15	Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]
Q92905	CSN5	COPS5 CSN5 JAB1	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1)
Q08117	TLE5	TLE5 AES GRG GRG5	TLE family member 5 (Amino-terminal enhancer of split) (Amino enhancer of split) (Gp130-associated protein GAM) (Grg-5) (Groucho-related protein 5) (Protein ESP1) (Protein GRG) (TLE family member 5, transcriptional modulator)
Q9NZN9	AIPL1	AIPL1 AIPL2	Aryl-hydrocarbon-interacting protein-like 1
Q14739	LBR	LBR	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase)
P25311	ZA2G	AZGP1 ZAG ZNGP1	Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein)
Q53EZ4	CEP55	CEP55 C10orf3 URCC6	Centrosomal protein of 55 kDa (Cep55) (Up-regulated in colon cancer 6)
P51965	UB2E1	UBE2E1 UBCH6	Ubiquitin-conjugating enzyme E2 E1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme E1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme E1) (UbcH6) (Ubiquitin carrier protein E1) (Ubiquitin-protein ligase E1)
Q15833	STXB2	STXBP2 UNC18B	Syntaxin-binding protein 2 (Protein unc-18 homolog 2) (Unc18-2) (Protein unc-18 homolog B) (Unc-18B)
O95486	SC24A	SEC24A	Protein transport protein Sec24A (SEC24-related protein A)
Q13813	SPTN1	SPTAN1 NEAS SPTA2	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)
Q8IZT6	ASPM	ASPM MCPH5	Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog)
P41181	AQP2	AQP2	Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct)
O14735	CDIPT	CDIPT PIS PIS1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)
Q96HH6	TMM19	TMEM19	Transmembrane protein 19
Q92769	HDAC2	HDAC2	Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-)
P12931	SRC	SRC SRC1	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)
Q9Y4K1	CRBG1	CRYBG1 AIM1	Beta/gamma crystallin domain-containing protein 1 (Absent in melanoma 1 protein)
P29692	EF1D	EEF1D EF1D	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)
Q9UKB1	FBW1B	FBXW11 BTRCP2 FBW1B FBXW1B KIAA0696	F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS)
Q2TAL8	QRIC1	QRICH1	Transcriptional regulator QRICH1 (Glutamine-rich protein 1)
O75152	ZC11A	ZC3H11A KIAA0663 ZC3HDC11A	Zinc finger CCCH domain-containing protein 11A
Q05707	COEA1	COL14A1 UND	Collagen alpha-1(XIV) chain (Undulin)
Q8N3U4	STAG2	STAG2 SA2	Cohesin subunit SA-2 (SCC3 homolog 2) (Stromal antigen 2)
Q9H307	PININ	PNN DRS MEMA	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)
O75691	UTP20	UTP20 DRIM	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)
Q9H0L4	CSTFT	CSTF2T KIAA0689	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)
P33992	MCM5	MCM5 CDC46	DNA replication licensing factor MCM5 (EC 3.6.4.12) (CDC46 homolog) (P1-CDC46)
Q9Y6H1	CHCH2	CHCHD2 C7orf17 AAG10	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 (Aging-associated gene 10 protein) (HCV NS2 trans-regulated protein) (NS2TP)
Q05516	ZBT16	ZBTB16 PLZF ZNF145	Zinc finger and BTB domain-containing protein 16 (Promyelocytic leukemia zinc finger protein) (Zinc finger protein 145) (Zinc finger protein PLZF)
Q9NYP9	MS18A	MIS18A C21orf45 C21orf46 FASP1	Protein Mis18-alpha (FAPP1-associated protein 1)
Q99496	RING2	RNF2 BAP1 DING HIPI3 RING1B	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (Huntingtin-interacting protein 2-interacting protein 3) (HIP2-interacting protein 3) (Protein DinG) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING finger protein BAP-1) (RING-type E3 ubiquitin transferase RING2)
Q9NRR5	UBQL4	UBQLN4 C1orf6 CIP75 UBIN	Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75)
Q5SWW7	CJ055	C10orf55	Uncharacterized protein C10orf55
Q9BQQ3	GORS1	GORASP1 GOLPH5 GRASP65	Golgi reassembly-stacking protein 1 (Golgi peripheral membrane protein p65) (Golgi phosphoprotein 5) (GOLPH5) (Golgi reassembly-stacking protein of 65 kDa) (GRASP65)
P50570	DYN2	DNM2 DYN2	Dynamin-2 (EC 3.6.5.5) (Dynamin 2) (Dynamin II)
Q9UPN3	MACF1	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)
Q16851	UGPA	UGP2 UGP1	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)
Q12933	TRAF2	TRAF2 TRAP3	TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3)
P55212	CASP6	CASP6 MCH2	Caspase-6 (CASP-6) (CSP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18 (Caspase-6 subunit p20); Caspase-6 subunit p11 (Caspase-6 subunit p10)]
Q9Y242	TCF19	TCF19 SC1	Transcription factor 19 (TCF-19) (Transcription factor SC1)
Q9Y297	FBW1A	BTRC BTRCP FBW1A FBXW1A	F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit)
